precinct_id,avg_biss,avg_abughazaleh,avg_fine,avg_simmons,avg_amiwala,avg_huynh,avg_andrew,pct_biss_wins,pct_fine_wins,pct_abughazaleh_wins
COOK:7507004,36.222958,24.791801,15.775896,9.6072693,5.6567826,4.1120157,3.8333156,88.921997,1.454,9.6239996
COOK:8200060,37.553276,19.740772,20.842155,8.9540091,4.5952053,3.9714358,4.3433189,93.663002,4.4619999,1.875
COOK:8300007,33.662792,17.222574,25.748507,8.0497417,4.0502448,3.680434,7.5859413,76.745003,21.537001,1.7180001
COOK:8100038,35.964382,25.382833,15.151162,9.7347221,5.8084855,4.1778364,3.780571,87.385002,1.289,11.326
COOK:9600052,37.475693,20.200386,20.237846,8.923605,4.7926507,4.0209637,4.3489957,93.893997,3.9419999,2.164
COOK:9600027,37.053291,20.388197,20.258396,9.0859032,4.9399118,3.8894365,4.385098,93.07,4.3699999,2.5599999
COOK:8100021,29.375845,26.053711,16.955452,9.7873144,5.7915635,4.0814986,7.9544773,60.402,5.9970002,33.601002
CITY OF CHICAGO:WARD 48 PRECINCT 03,23.733635,42.617722,11.380852,8.5079756,6.3647027,3.764431,3.6307435,1.4450001,.050999999,98.503998
COOK:8300021,33.534,17.69972,24.938976,8.2714739,4.2316852,3.7268755,7.5974374,78.386002,19.403,2.211
COOK:8200038,34.524033,18.211168,27.046343,8.1126013,4.3503923,3.7011564,4.054265,75.367996,22.882999,1.749
CITY OF CHICAGO:WARD 48 PRECINCT 27,26.427637,36.268425,12.564672,9.4921703,7.470253,3.8832295,3.8937671,12.436,.456,87.108002
COOK:7503005,35.321831,26.28702,14.06715,9.721468,6.3951602,4.2353892,3.9719269,83.856003,.99000001,15.154
COOK:9600069,37.238319,19.652269,21.783964,8.4851952,4.8406582,3.5543334,4.4452868,92.208,5.9320002,1.86
CITY OF CHICAGO:WARD 48 PRECINCT 08,28.588789,31.215794,15.473073,9.6988029,6.7781878,4.034122,4.2112641,36.52,2.5050001,60.974998
COOK:7505002,32.639259,29.601631,11.919765,9.4719,8.7074871,3.5175996,4.1421371,62.467999,.58099997,36.951
COOK:8100039,33.613476,17.750622,24.774113,8.2100954,4.1589184,3.8536396,7.6394892,79.206001,18.672001,2.122
CITY OF CHICAGO:WARD 48 PRECINCT 05,29.805614,28.630735,17.279036,9.612958,6.4424162,3.963701,4.2656245,52.044998,4.638,43.317001
CITY OF CHICAGO:WARD 50 PRECINCT 13,37.498466,20.94441,18.666716,9.3706961,4.9405336,4.3269749,4.2521734,94.504997,2.724,2.7709999
COOK:8100033,35.954624,25.425699,15.014077,9.7960768,5.7987118,4.2228303,3.7880538,87.353996,1.198,11.448
COOK:8200053,37.660061,20.234894,19.610666,9.1790867,4.5399108,4.4415884,4.3334804,94.536003,3.2950001,2.1689999
COOK:7508004,36.112228,25.052809,15.500492,9.4455671,5.8518457,4.1206961,3.9163342,88.260002,1.39,10.35
CITY OF CHICAGO:WARD 46 PRECINCT 14,23.815775,42.642883,11.152053,8.6449356,6.1665559,3.9655778,3.6121802,1.4809999,.048999999,98.470001
CITY OF CHICAGO:WARD 50 PRECINCT 01,28.834074,16.084318,28.678608,6.5933084,6.359961,3.599719,9.8499498,48.097,49.591999,2.3110001
CITY OF CHICAGO:WARD 48 PRECINCT 22,30.608997,26.656897,18.620228,9.653141,6.2253795,3.8999383,4.3355365,62.563,6.9590001,30.478001
CITY OF CHICAGO:WARD 40 PRECINCT 06,29.902836,28.579514,15.920895,10.37462,6.68818,4.3568196,4.1771255,53.338001,3.461,43.201
CITY OF CHICAGO:WARD 46 PRECINCT 22,27.462914,34.196171,13.750476,9.6334448,6.804132,4.1501522,4.0028014,21.113001,.98000002,77.906998
COOK:7501002,33.633526,28.355797,13.067099,9.4127636,7.8966656,3.5989888,4.0350766,71.514999,.80699998,27.677999
CITY OF CHICAGO:WARD 48 PRECINCT 32,27.260929,34.524574,13.853982,9.5439558,6.6876779,4.1046996,4.0240149,19.528999,.98299998,79.487999
COOK:7503001,35.198586,26.366936,14.193968,9.6972656,6.4871321,4.108201,3.9477634,83.156998,1.005,15.838
COOK:7508005,35.806889,25.576525,15.020273,9.5817757,6.0375547,4.1074395,3.8697152,86.458,1.216,12.326
COOK:7508001,35.385391,26.489449,13.908455,9.5957851,6.4603319,4.2312479,3.9293418,83.285004,.884,15.831
CITY OF CHICAGO:WARD 48 PRECINCT 19,27.79845,33.68045,13.831718,9.7861404,6.4979382,4.3851795,4.0203738,24.056999,1.0930001,74.849998
CITY OF CHICAGO:WARD 48 PRECINCT 15,24.152416,41.64312,11.779762,8.5605993,6.4611521,3.7273121,3.6755061,2.1400001,.092,97.767998
CITY OF CHICAGO:WARD 50 PRECINCT 24,29.284998,15.847916,29.410406,6.3784127,6.1592035,3.3616228,9.5571413,47.194,50.939999,1.8660001
COOK:8200021,36.068962,25.175913,15.582441,9.5436897,5.8013458,4.0412054,3.786695,87.926003,1.378,10.696
COOK:8300012,33.640575,17.697456,24.948015,8.1598206,4.2185874,3.734,7.6014462,78.802002,19.157,2.0409999
CITY OF CHICAGO:WARD 50 PRECINCT 15,37.402443,21.009169,18.640175,9.3985415,5.0122275,4.275619,4.2619505,94.288002,2.7620001,2.95
CITY OF CHICAGO:WARD 50 PRECINCT 22,29.118961,15.922483,28.656582,6.6528149,6.1129422,3.7497416,9.7863169,49.445,48.474998,2.0799999
CITY OF CHICAGO:WARD 46 PRECINCT 20,26.906324,35.467194,13.203314,9.5025425,6.9027324,4.0736589,3.9441016,15.795,.66799998,83.537003
CITY OF CHICAGO:WARD 50 PRECINCT 11,28.734789,16.493723,28.16984,6.3247123,6.4309335,3.7990866,10.046361,49.436001,47.727001,2.8369999
COOK:7503002,35.213661,26.358774,14.206946,9.7177649,6.469389,4.105751,3.9277875,83.130997,1.057,15.812
CITY OF CHICAGO:WARD 46 PRECINCT 21,30.191488,27.912468,17.018211,9.9902859,6.3458376,4.2594385,4.2826076,56.924999,4.6529999,38.422001
COOK:8100036,29.104753,26.929838,15.706574,10.131073,5.9841509,4.3407326,7.8030586,56.589001,4.2160001,39.195
CITY OF CHICAGO:WARD 49 PRECINCT 12,28.499832,31.366781,14.484247,10.22893,7.1254945,4.182611,4.1123242,35.653999,1.839,62.507
CITY OF CHICAGO:WARD 40 PRECINCT 02,29.859257,28.842161,15.435358,10.517798,6.7137442,4.4772325,4.1547432,52.127998,2.904,44.967999
